Dbid,Status,Name,Type,Layer,GUID,SETS
2,N/A,<No level>,Layer,<No level>,,
6,N/A,Lances,Category,<No level>,,
7,N/A,Lance monolítico,Family,<No level>,,
8,N/A,13cm,Type,<No level>,,
9,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020d82,
10,N/A,@Concreto,Solid,<No level>,,
11,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020a55,
12,N/A,@Concreto,Solid,<No level>,,
13,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bef,
14,N/A,@Concreto,Solid,<No level>,,
15,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020be1,
16,N/A,@Concreto,Solid,<No level>,,
17,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020be7,
18,N/A,@Concreto,Solid,<No level>,,
19,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bf9,
20,N/A,@Concreto,Solid,<No level>,,
21,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bff,
22,N/A,@Concreto,Solid,<No level>,,
23,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bf1,
24,N/A,@Concreto,Solid,<No level>,,
25,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bf7,
26,N/A,@Concreto,Solid,<No level>,,
27,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bc9,
28,N/A,@Concreto,Solid,<No level>,,
29,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bcf,
30,N/A,@Concreto,Solid,<No level>,,
31,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bc1,
32,N/A,@Concreto,Solid,<No level>,,
33,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bc7,
34,N/A,@Concreto,Solid,<No level>,,
35,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bd9,
36,N/A,@Concreto,Solid,<No level>,,
37,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bdf,
38,N/A,@Concreto,Solid,<No level>,,
39,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bd1,
40,N/A,@Concreto,Solid,<No level>,,
41,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020bd7,
42,N/A,@Concreto,Solid,<No level>,,
43,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020829,
44,N/A,@Concreto,Solid,<No level>,,
45,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02082f,
46,N/A,@Concreto,Solid,<No level>,,
47,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020821,
48,N/A,@Concreto,Solid,<No level>,,
49,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020827,
50,N/A,@Concreto,Solid,<No level>,,
51,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020839,
52,N/A,@Concreto,Solid,<No level>,,
53,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02083f,
54,N/A,@Concreto,Solid,<No level>,,
55,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020831,
56,N/A,@Concreto,Solid,<No level>,,
57,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020837,
58,N/A,@Concreto,Solid,<No level>,,
59,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020809,
60,N/A,@Concreto,Solid,<No level>,,
61,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02080f,
62,N/A,@Concreto,Solid,<No level>,,
63,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020801,
64,N/A,@Concreto,Solid,<No level>,,
65,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020807,
66,N/A,@Concreto,Solid,<No level>,,
67,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020819,
68,N/A,@Concreto,Solid,<No level>,,
69,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02081f,
70,N/A,@Concreto,Solid,<No level>,,
71,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020811,
72,N/A,@Concreto,Solid,<No level>,,
73,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020817,
74,N/A,@Concreto,Solid,<No level>,,
75,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020869,
76,N/A,@Concreto,Solid,<No level>,,
77,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02086f,
78,N/A,@Concreto,Solid,<No level>,,
79,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020861,
80,N/A,@Concreto,Solid,<No level>,,
81,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020867,
82,N/A,@Concreto,Solid,<No level>,,
83,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020879,
84,N/A,@Concreto,Solid,<No level>,,
85,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02087f,
86,N/A,@Concreto,Solid,<No level>,,
87,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020871,
88,N/A,@Concreto,Solid,<No level>,,
89,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020877,
90,N/A,@Concreto,Solid,<No level>,,
91,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020849,
92,N/A,@Concreto,Solid,<No level>,,
93,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02084f,
94,N/A,@Concreto,Solid,<No level>,,
95,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d020841,
96,N/A,@Concreto,Solid,<No level>,,
97,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02085c,
98,N/A,@Concreto,Solid,<No level>,,
99,N/A,13cm,13cm,<No level>,ba80e243-726d-4e22-bbbc-2c1e6d02085e,
100,N/A,@Concreto,Solid,<No level>,,
101,N/A,13cm,13cm,<No level>,f3fb42d7-73fd-4ed3-9b2c-b620e39c2ee5,
102,N/A,@Concreto,Solid,<No level>,,
103,N/A,13cm,13cm,<No level>,f3fb42d7-73fd-4ed3-9b2c-b620e39c2fc8,
104,N/A,@Concreto,Solid,<No level>,,
105,N/A,13cm,13cm,<No level>,f3fb42d7-73fd-4ed3-9b2c-b620e39c2ff3,
106,N/A,@Concreto,Solid,<No level>,,
107,N/A,13cm,13cm,<No level>,f3fb42d7-73fd-4ed3-9b2c-b620e39c2985,
108,N/A,@Concreto,Solid,<No level>,,
109,N/A,13cm,13cm,<No level>,f3fb42d7-73fd-4ed3-9b2c-b620e39c264e,
110,N/A,@Concreto,Solid,<No level>,,
111,N/A,13cm,13cm,<No level>,f3fb42d7-73fd-4ed3-9b2c-b620e39c26a2,
112,N/A,@Concreto,Solid,<No level>,,
113,N/A,13cm,13cm,<No level>,9f00ae0f-9ba9-453b-80e0-d7d0fab74603,
114,N/A,@Concreto,Solid,<No level>,,
115,N/A,13cm,13cm,<No level>,9f00ae0f-9ba9-453b-80e0-d7d0fab74672,
116,N/A,@Concreto,Solid,<No level>,,
117,N/A,13cm,13cm,<No level>,9f00ae0f-9ba9-453b-80e0-d7d0fab746da,
118,N/A,@Concreto,Solid,<No level>,,
119,N/A,13cm,13cm,<No level>,9f00ae0f-9ba9-453b-80e0-d7d0fab7598d,
120,N/A,@Concreto,Solid,<No level>,,
121,N/A,13cm,13cm,<No level>,9f00ae0f-9ba9-453b-80e0-d7d0fab759cc,
122,N/A,@Concreto,Solid,<No level>,,
123,N/A,13cm,13cm,<No level>,9f00ae0f-9ba9-453b-80e0-d7d0fab75a12,
124,N/A,@Concreto,Solid,<No level>,,
125,N/A,13cm,13cm,<No level>,9f00ae0f-9ba9-453b-80e0-d7d0fab75a22,
126,N/A,@Concreto,Solid,<No level>,,
127,N/A,Linhas,Category,<No level>,,
128,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a6c,
129,N/A,,Solid,<No level>,,
130,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a6d,
131,N/A,,Solid,<No level>,,
132,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a6e,
133,N/A,,Solid,<No level>,,
134,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a6f,
135,N/A,,Solid,<No level>,,
136,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a68,
137,N/A,,Solid,<No level>,,
138,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a69,
139,N/A,,Solid,<No level>,,
140,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a6a,
141,N/A,,Solid,<No level>,,
142,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a6b,
143,N/A,,Solid,<No level>,,
144,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a14,
145,N/A,,Solid,<No level>,,
146,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674c3a15,
147,N/A,,Solid,<No level>,,
148,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc95b,
149,N/A,,Solid,<No level>,,
150,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc944,
151,N/A,,Solid,<No level>,,
152,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc945,
153,N/A,,Solid,<No level>,,
154,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc946,
155,N/A,,Solid,<No level>,,
156,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc947,
157,N/A,,Solid,<No level>,,
158,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc940,
159,N/A,,Solid,<No level>,,
160,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc941,
161,N/A,,Solid,<No level>,,
162,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc942,
163,N/A,,Solid,<No level>,,
164,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc943,
165,N/A,,Solid,<No level>,,
166,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dc94c,
167,N/A,,Solid,<No level>,,
168,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dcee8,
169,N/A,,Solid,<No level>,,
170,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dcee9,
171,N/A,,Solid,<No level>,,
172,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dceea,
173,N/A,,Solid,<No level>,,
174,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dceeb,
175,N/A,,Solid,<No level>,,
176,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dce94,
177,N/A,,Solid,<No level>,,
178,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dce95,
179,N/A,,Solid,<No level>,,
180,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dce96,
181,N/A,,Solid,<No level>,,
182,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dce97,
183,N/A,,Solid,<No level>,,
184,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dce90,
185,N/A,,Solid,<No level>,,
186,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dce91,
187,N/A,,Solid,<No level>,,
188,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd23d,
189,N/A,,Solid,<No level>,,
190,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd23e,
191,N/A,,Solid,<No level>,,
192,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd23f,
193,N/A,,Solid,<No level>,,
194,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd238,
195,N/A,,Solid,<No level>,,
196,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd239,
197,N/A,,Solid,<No level>,,
198,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd23a,
199,N/A,,Solid,<No level>,,
200,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd23b,
201,N/A,,Solid,<No level>,,
202,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd224,
203,N/A,,Solid,<No level>,,
204,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd225,
205,N/A,,Solid,<No level>,,
206,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd226,
207,N/A,,Solid,<No level>,,
208,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd642,
209,N/A,,Solid,<No level>,,
210,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd643,
211,N/A,,Solid,<No level>,,
212,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd64c,
213,N/A,,Solid,<No level>,,
214,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd64d,
215,N/A,,Solid,<No level>,,
216,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd64e,
217,N/A,,Solid,<No level>,,
218,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd64f,
219,N/A,,Solid,<No level>,,
220,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd648,
221,N/A,,Solid,<No level>,,
222,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd649,
223,N/A,,Solid,<No level>,,
224,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd64a,
225,N/A,,Solid,<No level>,,
226,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dd64b,
227,N/A,,Solid,<No level>,,
228,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddb97,
229,N/A,,Solid,<No level>,,
230,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddb90,
231,N/A,,Solid,<No level>,,
232,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddb91,
233,N/A,,Solid,<No level>,,
234,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddb92,
235,N/A,,Solid,<No level>,,
236,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddb93,
237,N/A,,Solid,<No level>,,
238,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddb9c,
239,N/A,,Solid,<No level>,,
240,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddb9d,
241,N/A,,Solid,<No level>,,
242,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddb9e,
243,N/A,,Solid,<No level>,,
244,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddb9f,
245,N/A,,Solid,<No level>,,
246,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddb98,
247,N/A,,Solid,<No level>,,
248,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddf24,
249,N/A,,Solid,<No level>,,
250,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddf25,
251,N/A,,Solid,<No level>,,
252,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddf26,
253,N/A,,Solid,<No level>,,
254,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddf27,
255,N/A,,Solid,<No level>,,
256,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddf20,
257,N/A,,Solid,<No level>,,
258,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddf21,
259,N/A,,Solid,<No level>,,
260,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddf22,
261,N/A,,Solid,<No level>,,
262,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddf23,
263,N/A,,Solid,<No level>,,
264,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddf2c,
265,N/A,,Solid,<No level>,,
266,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ddf2d,
267,N/A,,Solid,<No level>,,
268,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de349,
269,N/A,,Solid,<No level>,,
270,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de34a,
271,N/A,,Solid,<No level>,,
272,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de34b,
273,N/A,,Solid,<No level>,,
274,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de374,
275,N/A,,Solid,<No level>,,
276,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de375,
277,N/A,,Solid,<No level>,,
278,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de376,
279,N/A,,Solid,<No level>,,
280,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de377,
281,N/A,,Solid,<No level>,,
282,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de370,
283,N/A,,Solid,<No level>,,
284,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de371,
285,N/A,,Solid,<No level>,,
286,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de372,
287,N/A,,Solid,<No level>,,
288,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de09e,
289,N/A,,Solid,<No level>,,
290,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de09f,
291,N/A,,Solid,<No level>,,
292,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de098,
293,N/A,,Solid,<No level>,,
294,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de099,
295,N/A,,Solid,<No level>,,
296,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de09a,
297,N/A,,Solid,<No level>,,
298,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de09b,
299,N/A,,Solid,<No level>,,
300,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de084,
301,N/A,,Solid,<No level>,,
302,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de085,
303,N/A,,Solid,<No level>,,
304,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de086,
305,N/A,,Solid,<No level>,,
306,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de087,
307,N/A,,Solid,<No level>,,
308,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de423,
309,N/A,,Solid,<No level>,,
310,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de42c,
311,N/A,,Solid,<No level>,,
312,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de42d,
313,N/A,,Solid,<No level>,,
314,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de42e,
315,N/A,,Solid,<No level>,,
316,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de42f,
317,N/A,,Solid,<No level>,,
318,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de428,
319,N/A,,Solid,<No level>,,
320,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de429,
321,N/A,,Solid,<No level>,,
322,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de42a,
323,N/A,,Solid,<No level>,,
324,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de42b,
325,N/A,,Solid,<No level>,,
326,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de4d4,
327,N/A,,Solid,<No level>,,
328,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de870,
329,N/A,,Solid,<No level>,,
330,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de871,
331,N/A,,Solid,<No level>,,
332,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de872,
333,N/A,,Solid,<No level>,,
334,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de873,
335,N/A,,Solid,<No level>,,
336,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de87c,
337,N/A,,Solid,<No level>,,
338,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de87d,
339,N/A,,Solid,<No level>,,
340,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de87e,
341,N/A,,Solid,<No level>,,
342,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de87f,
343,N/A,,Solid,<No level>,,
344,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de878,
345,N/A,,Solid,<No level>,,
346,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674de879,
347,N/A,,Solid,<No level>,,
348,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ded85,
349,N/A,,Solid,<No level>,,
350,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ded86,
351,N/A,,Solid,<No level>,,
352,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ded87,
353,N/A,,Solid,<No level>,,
354,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ded80,
355,N/A,,Solid,<No level>,,
356,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ded81,
357,N/A,,Solid,<No level>,,
358,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ded82,
359,N/A,,Solid,<No level>,,
360,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ded83,
361,N/A,,Solid,<No level>,,
362,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ded8c,
363,N/A,,Solid,<No level>,,
364,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ded8d,
365,N/A,,Solid,<No level>,,
366,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674ded8e,
367,N/A,,Solid,<No level>,,
368,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df12a,
369,N/A,,Solid,<No level>,,
370,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df12b,
371,N/A,,Solid,<No level>,,
372,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df1d4,
373,N/A,,Solid,<No level>,,
374,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df1d5,
375,N/A,,Solid,<No level>,,
376,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df1d6,
377,N/A,,Solid,<No level>,,
378,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df1d7,
379,N/A,,Solid,<No level>,,
380,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df1d0,
381,N/A,,Solid,<No level>,,
382,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df1d1,
383,N/A,,Solid,<No level>,,
384,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df1d2,
385,N/A,,Solid,<No level>,,
386,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df1d3,
387,N/A,,Solid,<No level>,,
388,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df57f,
389,N/A,,Solid,<No level>,,
390,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df578,
391,N/A,,Solid,<No level>,,
392,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df579,
393,N/A,,Solid,<No level>,,
394,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df57a,
395,N/A,,Solid,<No level>,,
396,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df57b,
397,N/A,,Solid,<No level>,,
398,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df564,
399,N/A,,Solid,<No level>,,
400,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df565,
401,N/A,,Solid,<No level>,,
402,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df566,
403,N/A,,Solid,<No level>,,
404,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df567,
405,N/A,,Solid,<No level>,,
406,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674df560,
407,N/A,,Solid,<No level>,,
408,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dfa8c,
409,N/A,,Solid,<No level>,,
410,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dfa8d,
411,N/A,,Solid,<No level>,,
412,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dfa8e,
413,N/A,,Solid,<No level>,,
414,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dfa8f,
415,N/A,,Solid,<No level>,,
416,N/A,<Projeção>,Linhas,<No level>,fedba55b-f36e-4269-9cec-d257674dfa88,
417,N/A,,Solid,<No level>,,
